Source,Cost,Bed,Bath,Address,City,Size
Trulia,"$618,000","3 bd","2ba","733 W Wilshire Ave","Fullerton, CA","1,200 sqft"
Trulia,"$599,000","3 bd","2ba","840 W W Fern Dr","Fullerton, CA","1,266 sqft"
Trulia,"$699,000","4 bd","4ba","301 E Lillie Ave","Fullerton, CA","2,133 sqft"
Trulia,"$629,990","6 bd","3ba","1309 W Chapman Ave","Fullerton, CA","1,981 sqft"
Trulia,"$590,000","4 bd","3ba","431 W Orangethorpe Ave","Fullerton, CA","1,965 sqft"
Trulia,"$999,000","5 bd","5ba","2235 Evans St","Fullerton, CA","3,281 sqft"
Trulia,"$2,399,000","6 bd","5ba","1504 Ridgemont Ct","Fullerton, CA","4,970 sqft"
Trulia,"$520,000","3 bd","2ba","2936 Persimmon Pl","Fullerton, CA","1,617 sqft"
Trulia,"$580,000","3 bd","2ba","1348 W Olive Ave","Fullerton, CA","1,823 sqft"
Trulia,"$499,990","5 bd","2ba","530 W Elm Ave","Fullerton, CA","1,596 sqft"
Trulia,"$599,900","4 bd","2ba","2925 Persimmon Pl","Fullerton, CA","1,840 sqft"
Trulia,"$729,900","3 bd","2ba","606 Las Riendas Dr","Fullerton, CA","1,558 sqft"
Trulia,"$639,800","3 bd","2ba","2821 Spruce Pl","Fullerton, CA","1,286 sqft"
Trulia,"$274,500","1 bd","1ba","2900 Madison Ave #D17","Fullerton, CA","756 sqft"
Trulia,"$645,000","3 bd","3ba","2804 Hickory Pl","Fullerton, CA","1,745 sqft"
Trulia,"$519,990","3 bd","2ba","630 W Elm Ave","Fullerton, CA","1,176 sqft"
Trulia,"$659,000","3 bd","2ba","549 N Cornell Ave","Fullerton, CA","1,600 sqft"
Trulia,"$580,000","3 bd","2ba","1401 W Malvern Ave","Fullerton, CA","1,233 sqft"
Trulia,"$519,000","3 bd","2ba","2200 W Porter Ave","Fullerton, CA","1,423 sqft"
Trulia,"$599,000","3 bd","2ba","227 Florence Pl","Fullerton, CA","1,459 sqft"
Trulia,"$247,000","1 bd","1ba","3032 Associated Rd #89","Fullerton, CA","676 sqft"
Trulia,"$475,000","3 bd","2ba","2339 Conejo Ln #22","Fullerton, CA","1,249 sqft"
Trulia,"$569,000","4 bd","2ba","630 S Pacific Dr","Fullerton, CA","1,157 sqft"
Trulia,"$529,900","3 bd","2ba","1454 W West Ave","Fullerton, CA","1,273 sqft"
Trulia,"$549,850","3 bd","2ba","3517 W Valencia Dr","Fullerton, CA","1,339 sqft"
Trulia,"$539,000","4 bd","2ba","407 S Hastings Ave","Fullerton, CA","1,245 sqft"
Trulia,"$514,990","3 bd","1ba","1871 Carol Dr","Fullerton, CA","1,028 sqft"
Trulia,"$495,000","3 bd","2ba","536 W Orangethorpe Ave","Fullerton, CA","1,103 sqft"
Trulia,"$779,000","4 bd","2ba","128 Elsa Dr","Fullerton, CA","1,847 sqft"
Trulia,"$629,900","3 bd","2ba","709 Ladera Vista Dr","Fullerton, CA","1,161 sqft"
Trulia,"$549,900","3 bd","2ba","312 N Harrington Dr","Fullerton, CA","1,369 sqft"
Trulia,"$599,900","3 bd","2ba","1512 Central Ave","Fullerton, CA","1,209 sqft"
Trulia,"$385,900","1 bd","2ba","806 Creekside Dr","Fullerton, CA","1,098 sqft"
Trulia,"$365,000","2 bd","1ba","1719 N Gilbert St #12","Fullerton, CA","871 sqft"
Trulia,"$514,900","3 bd","2ba","624 W Gage Ave","Fullerton, CA","1,103 sqft"
Trulia,"$499,000","4 bd","2ba","212 E Rosslynn Av Fullerton Ca 92832","Fullerton, CA","1,371 sqft"
Trulia,"$615,000","4 bd","2ba","2616 Cambridge Ave","Fullerton, CA","1,671 sqft"
Trulia,"$569,000","3 bd","2ba","312 N Marie Ave","Fullerton, CA","1,208 sqft"
Trulia,"$529,000","3 bd","2ba","1324 W Roberta Ave","Fullerton, CA","1,515 sqft"
Trulia,"$645,000","3 bd","2ba","1201 N Hale Ave","Fullerton, CA","1,684 sqft"
Trulia,"$529,998","2 bd","1ba","305 Marwood Ave","Fullerton, CA","999 sqft"
Trulia,"$619,000","3 bd","2ba","1925 Mimosa Pl","Fullerton, CA","1,304 sqft"
Trulia,"$318,888","1 bd","2ba","2745 Pine Creek Cir","Fullerton, CA","831 sqft"
